Att.1,Yds.1,Y/A,TD.1,player_id
1.0,-4.0,-4.0,0.0,MitcAd00
92.0,400.0,4.35,2.0,RobiBr01
65.0,175.0,2.69,0.0,SampDy00
58.0,275.0,4.74,0.0,DaviRa04
1.0,0.0,0.0,0.0,LegeXa00
1.0,7.0,7.0,0.0,EngrEv00
0.0,0.0,0.0,0.0,NjokDa00
2.0,-2.0,-1.0,0.0,PearRi00
0.0,0.0,0.0,0.0,HortTo00
63.0,356.0,5.65,2.0,BigsTa00
22.0,123.0,5.59,2.0,WillMa12
43.0,236.0,5.49,1.0,DaviIs00
0.0,0.0,0.0,0.0,GodwCh00
0.0,0.0,0.0,0.0,MoonDa00
18.0,106.0,5.89,0.0,WilsRu00
9.0,39.0,4.33,1.0,BrowJa08
0.0,0.0,0.0,0.0,KmetCo00
0.0,0.0,0.0,0.0,HelmGu00
44.0,221.0,5.02,1.0,McNiJe00
70.0,199.0,2.84,3.0,GordOl00
9.0,70.0,7.78,1.0,SmitJo01
7.0,15.0,2.14,1.0,DortGr01
0.0,0.0,0.0,0.0,HigbTy00
59.0,341.0,5.78,1.0,MitcKe01
1.0,6.0,6.0,0.0,WickDo00
4.0,25.0,6.25,0.0,ZaccOl01
44.0,312.0,7.09,0.0,DemeEm00
0.0,0.0,0.0,0.0,HopkDe00
0.0,0.0,0.0,0.0,TaylMa02
0.0,0.0,0.0,0.0,BryaPa00
18.0,93.0,5.17,2.0,HillJu00
0.0,0.0,0.0,0.0,GesiMi00
57.0,206.0,3.61,2.0,NealDe00
2.0,19.0,9.5,0.0,RaymKa00
4.0,19.0,4.75,0.0,ShepSt00
70.0,288.0,4.11,2.0,WrigJa04
6.0,12.0,2.0,0.0,NoelJa00
0.0,0.0,0.0,0.0,WashDa03
7.0,23.0,3.29,1.0,WinsJa00
0.0,0.0,0.0,0.0,BellDa00
0.0,0.0,0.0,0.0,FantNo00
1.0,0.0,0.0,0.0,FergTe00
10.0,49.0,4.9,0.0,GoldMa02
0.0,0.0,0.0,0.0,JeffVa00
0.0,0.0,0.0,0.0,LockTy00
0.0,0.0,0.0,0.0,SmitJu00
0.0,0.0,0.0,0.0,VeleDe00
24.0,151.0,6.29,0.0,HuntTy01
0.0,0.0,0.0,0.0,McCaLu00
0.0,0.0,0.0,0.0,OlivJo00
0.0,0.0,0.0,0.0,AlleDa02
52.0,250.0,4.81,2.0,DaviMa02
2.0,10.0,5.0,0.0,HarrTr03
0.0,0.0,0.0,0.0,MayeMi00
3.0,-5.0,-1.67,0.0,MetcJo00
0.0,0.0,0.0,0.0,NabeMa00
0.0,0.0,0.0,0.0,TillCe01
2.0,3.0,1.5,0.0,WillKy03
0.0,0.0,0.0,0.0,HoopAu00
44.0,151.0,3.43,0.0,SmitBr09
5.0,29.0,5.8,0.0,BondIs00
1.0,-7.0,-7.0,0.0,DulcGr00
0.0,0.0,0.0,0.0,HaweJa00
0.0,0.0,0.0,0.0,PatrTi00
0.0,0.0,0.0,0.0,TremTo00
0.0,0.0,0.0,0.0,BateRa00
46.0,198.0,4.3,1.0,EstiAu00
1.0,0.0,0.0,0.0,HuntTr00
1.0,6.0,6.0,0.0,RobiDe01
0.0,0.0,0.0,0.0,LikeIs00
0.0,0.0,0.0,0.0,HillTy00
2.0,-3.0,-1.5,0.0,JuszKy00
1.0,7.0,7.0,0.0,LaneJa00
3.0,34.0,11.33,0.0,WillIs03
0.0,0.0,0.0,0.0,DotsJa00
8.0,19.0,2.38,0.0,EwerQu00
2.0,-1.0,-0.5,0.0,RivePh00
0.0,0.0,0.0,0.0,WalkDe01
52.0,114.0,2.19,1.0,HillTa00
0.0,0.0,0.0,0.0,ShavTy00
0.0,0.0,0.0,0.0,SillDa01
9.0,6.0,0.67,0.0,TrubMi00
6.0,30.0,5.0,0.0,BrowDy00
0.0,0.0,0.0,0.0,KirkCh01
0.0,0.0,0.0,0.0,PalmJo00
3.0,28.0,9.33,0.0,ReedJa03
0.0,0.0,0.0,0.0,RidlCa00
0.0,0.0,0.0,0.0,SmitXa00
1.0,1.0,1.0,0.0,EvanMi01
0.0,0.0,0.0,0.0,HudsTa00
6.0,27.0,4.5,2.0,LeonRi02
0.0,0.0,0.0,0.0,CookBr00
13.0,49.0,3.77,0.0,CookBr03
0.0,0.0,0.0,0.0,HiggEl00
47.0,193.0,4.11,1.0,MillKe01
1.0,9.0,9.0,0.0,MoorCh00
0.0,0.0,0.0,0.0,TolbJa00
37.0,187.0,5.05,1.0,McLaJa00
0.0,0.0,0.0,0.0,WilsRo02
0.0,0.0,0.0,0.0,JohnTy00
0.0,0.0,0.0,0.0,KolaCh00
0.0,0.0,0.0,0.0,TrauAd00
0.0,0.0,0.0,0.0,AtweTu00
32.0,95.0,2.97,1.0,ConnJa00
0.0,0.0,0.0,0.0,MusgLu00
0.0,0.0,0.0,0.0,SandJa01
32.0,114.0,3.56,0.0,ScotZa00
15.0,43.0,2.87,2.0,HeywCo00
12.0,55.0,4.58,1.0,JohnJo05
16.0,71.0,4.44,0.0,LuepHu00
0.0,0.0,0.0,0.0,OlszGu00
0.0,0.0,0.0,0.0,RuckJe00
0.0,0.0,0.0,0.0,TinsMi00
43.0,193.0,4.49,0.0,JordJa00
41.0,159.0,3.88,1.0,PattJa01
0.0,0.0,0.0,0.0,WrigBr01
0.0,0.0,0.0,0.0,ArroEl00
0.0,0.0,0.0,0.0,BechJa00
29.0,160.0,5.52,0.0,BensTr01
0.0,0.0,0.0,0.0,HumpLi01
13.0,127.0,9.77,0.0,CorlMa00
25.0,106.0,4.24,1.0,GibsAn00
0.0,0.0,0.0,0.0,LongHu00
0.0,0.0,0.0,0.0,RenfHu00
0.0,0.0,0.0,0.0,ThieAd00
0.0,0.0,0.0,0.0,WalkJa03
14.0,60.0,4.29,1.0,AbduAm00
0.0,0.0,0.0,0.0,AustKe00
27.0,106.0,3.93,0.0,BrooCh00
6.0,24.0,4.0,1.0,MoorEl00
0.0,0.0,0.0,0.0,WeasTh00
38.0,129.0,3.39,1.0,BlueJa01
0.0,0.0,0.0,0.0,BurkTr00
0.0,0.0,0.0,0.0,DaviGa01
0.0,0.0,0.0,0.0,FarrLu00
20.0,117.0,5.85,1.0,SandMi01
0.0,0.0,0.0,0.0,AlieMo00
24.0,73.0,3.04,0.0,FordJe00
0.0,0.0,0.0,0.0,GrayNo00
0.0,0.0,0.0,0.0,HodgIs00
8.0,69.0,8.63,0.0,HornJi00
0.0,0.0,0.0,0.0,JoneZa00
1.0,1.0,1.0,0.0,McMiJa01
0.0,0.0,0.0,0.0,ValdMa00
3.0,12.0,4.0,0.0,WhitJo04
1.0,5.0,5.0,0.0,BeckAn01
22.0,104.0,4.73,0.0,MostRa00
1.0,3.0,3.0,0.0,SampDr00
27.0,92.0,3.41,1.0,SandRa00
0.0,0.0,0.0,0.0,SinnBe00
8.0,23.0,2.88,0.0,BadiTy00
0.0,0.0,0.0,0.0,BateJo00
0.0,0.0,0.0,0.0,HillJu02
0.0,0.0,0.0,0.0,TremBr00
11.0,37.0,3.36,0.0,WillSa01
7.0,24.0,3.43,0.0,AlixRa00
23.0,94.0,4.09,0.0,AlleLe01
3.0,44.0,14.67,0.0,DuliAs00
0.0,0.0,0.0,0.0,MumpKo00
7.0,6.0,0.86,0.0,RudoMa00
0.0,0.0,0.0,0.0,SpanBr00
0.0,0.0,0.0,0.0,WhitCo05
0.0,0.0,0.0,0.0,CalcGr00
0.0,0.0,0.0,0.0,ChisEf00
3.0,5.0,1.67,2.0,HamxC.00
23.0,73.0,3.17,1.0,JennTe00
2.0,13.0,6.5,0.0,JohnKa01
17.0,85.0,5.0,0.0,LancTr00
8.0,8.0,1.0,0.0,McKeTa01
11.0,25.0,2.27,1.0,OgunDa00
0.0,0.0,0.0,0.0,SamuCu00
0.0,0.0,0.0,0.0,ThorDo00
18.0,76.0,4.22,1.0,AlleBr05
0.0,0.0,0.0,0.0,FitzJo00
22.0,73.0,3.32,1.0,HolaGe00
0.0,0.0,0.0,0.0,LazaAl00
0.0,0.0,0.0,0.0,SchoLu00
0.0,0.0,0.0,0.0,SkowBe00
1.0,3.0,3.0,0.0,JackSh01
0.0,0.0,0.0,0.0,MorrQu00
0.0,0.0,0.0,0.0,ReynJo00
0.0,0.0,0.0,0.0,AdkiNa00
0.0,0.0,0.0,0.0,LambKe01
0.0,0.0,0.0,0.0,MundJo00
