PPR,player_id
4.0,CoveBr00
2.1,DallDe00
2.1,DobbJo00
4.2,EdwaCl00
3.9,FiskTu00
1.7,JohnRo07
2.5,JoneTi00
3.5,KeenJa00
3.5,KrulLu00
2.6,MallWi00
4.3,MartTa00
3.7,MitcZa00
2.7,MoorDa03
4.8,ReimTi00
1.7,RushCo00
5.1,SherTr00
2.0,TuneCl00
4.7,WashTa00
4.0,WaynJa01
3.4,WoodJe01
2.0,WrigJa05
3.8,YankCo00
5.0,ZylsSh00
0.9,AlleBr00
2.8,BaccAn00
3.2,BachAl00
2.7,BryaHa00
3.1,CannSa00
2.1,DurhPa00
2.7,DwelRo00
0.6,GaskMy00
2.6,GoulAn00
2.7,GranCa00
0.8,JohnAm00
3.7,LaubDy00
1.7,ManhCh00
3.0,MataMo00
0.7,MullKa00
1.8,OlivBr02
2.1,RicaPa00
2.2,RichAn03
1.1,SaylJa00
2.0,SkinQu00
1.1,WillJo011
1.4,WilsZa00
0.6,WrigOw00
3.4,YuroBe00
0.0,AlexMa02
-0.3,AlleKy00
0.0,BentUl00
0.0,BlaiCh00
0.0,BrigGa00
0.0,BrooJa04
0.0,BrowJa07
2.1,BrowPh01
0.0,CageLa01
0.0,CambDa00
0.0,CampDa01
0.0,CampPa00
0.0,CarlSt00
0.0,CartDe02
0.0,ChisDa00
0.0,CracRi00
0.1,CunnMa00
1.3,DabnDr00
0.0,DaviKa02
0.0,DaviZa00
0.0,DippCJ00
0.0,EdmoCh00
0.0,FantPr00
0.0,FehoSi00
0.0,FidoTh00
0.4,FranFe00
0.0,GageRu00
0.0,GrayEr01
0.0,GuerIs00
-0.2,HineNy00
0.0,HoliJi00
-0.2,HomeTr00
0.0,HortZa00
0.0,HuntJa03
0.0,JameJo01
0.0,JeffJe00
0.0,JenkEJ00
0.0,JohnJa12
0.0,JoneJe01
0.0,KaliNi00
0.0,KallNi00
0.0,KiefKo00
0.0,LatuCa01
0.0,LewiMa00
0.1,LockDr00
0.0,LoveDo00
-0.1,MartAd00
0.0,McKeSe01
0.0,MeekJa00
0.2,MiltKe01
0.0,MimsJo00
-0.3,MinsGa00
0.0,MitcEl00
0.0,MoreJa01
0.0,MullNi00
0.0,NichLe00
0.0,OuztRo00
0.0,OwenCo00
0.0,PalmTe00
0.0,PresBr00
0.0,QuitTe00
0.4,ReynCr00
0.0,RiccGi00
0.0,RichJP00
2.4,RoyaJa00
0.0,RuccHa00
1.3,RunyCa00
0.0,RussBr00
0.0,RypiBr00
0.0,SchrCo00
0.0,SermTr00
0.0,ShorJu00
0.0,SimsSt00
-0.1,SlovKe00
0.0,SmitBr07
-0.1,StidJa00
1.1,TonyRo00
1.3,TourSa00
0.0,TreaLa00
0.0,TurnCo00
0.0,TurnDJ00
0.0,TurnMa00
0.4,VakiSi00
0.0,VannNi00
0.0,VokoTr00
0.0,WashCa00
0.0,WelcTr00
1.0,WestJa01
2.4,WhitBl01
0.0,WhitRi01
1.4,WileJa00
0.0,WillAv02
0.0,WillBr06
0.0,WilsJe01
1.5,DaviDe02
-1.0,GaroJi00
0.5,WillKe08
-2.0,AgneJa00
-2.0,HardMe00
-1.6,MilrJa00
-2.0,WestLa01
-1.4,GipsXa00
-6.0,PricMy00
