2PM,2PP,player_id
0.0,0.0,MoorCh00
1.0,0.0,TolbJa00
0.0,0.0,McLaJa00
0.0,0.0,WilsRo02
0.0,0.0,JohnTy00
0.0,0.0,KolaCh00
0.0,0.0,TrauAd00
0.0,0.0,AtweTu00
0.0,0.0,ConnJa00
0.0,0.0,MusgLu00
0.0,0.0,SandJa01
0.0,0.0,ScotZa00
0.0,0.0,HeywCo00
0.0,0.0,JohnJo05
0.0,0.0,LuepHu00
0.0,0.0,OlszGu00
0.0,0.0,RuckJe00
0.0,0.0,TinsMi00
0.0,0.0,JordJa00
0.0,0.0,PattJa01
0.0,0.0,WrigBr01
0.0,0.0,ArroEl00
0.0,0.0,BechJa00
0.0,0.0,BensTr01
0.0,0.0,HumpLi01
0.0,0.0,CorlMa00
0.0,0.0,GibsAn00
0.0,0.0,LongHu00
0.0,0.0,RenfHu00
1.0,0.0,ThieAd00
0.0,0.0,WalkJa03
0.0,0.0,AbduAm00
0.0,0.0,AustKe00
0.0,0.0,BrooCh00
0.0,0.0,MoorEl00
0.0,0.0,WeasTh00
0.0,0.0,BlueJa01
0.0,0.0,BurkTr00
0.0,0.0,DaviGa01
0.0,0.0,FarrLu00
0.0,0.0,SandMi01
0.0,0.0,AlieMo00
0.0,0.0,FordJe00
0.0,0.0,GrayNo00
0.0,0.0,HodgIs00
0.0,0.0,HornJi00
0.0,0.0,JoneZa00
0.0,0.0,McMiJa01
0.0,0.0,ValdMa00
0.0,0.0,WhitJo04
0.0,0.0,BeckAn01
0.0,0.0,MostRa00
0.0,0.0,SampDr00
0.0,0.0,SandRa00
0.0,0.0,SinnBe00
0.0,0.0,BadiTy00
0.0,0.0,BateJo00
1.0,0.0,HillJu02
0.0,0.0,TremBr00
0.0,0.0,WillSa01
0.0,0.0,AlixRa00
0.0,0.0,AlleLe01
0.0,0.0,DuliAs00
0.0,0.0,MumpKo00
0.0,0.0,RudoMa00
0.0,0.0,SpanBr00
0.0,0.0,WhitCo05
0.0,0.0,CalcGr00
0.0,0.0,ChisEf00
0.0,0.0,HamxC.00
0.0,0.0,JennTe00
0.0,0.0,JohnKa01
0.0,0.0,LancTr00
0.0,0.0,McKeTa01
0.0,0.0,OgunDa00
0.0,0.0,SamuCu00
0.0,0.0,ThorDo00
0.0,0.0,AlleBr05
0.0,0.0,FitzJo00
0.0,0.0,HolaGe00
0.0,0.0,LazaAl00
