Player,Tm,FantPos,Age,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,PPR,-9999
Michael Wilson,ARI,WR,25,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,78.0,1006.0,12.9,7.0,0.0,0.0,7,0.0,0.0,220.6,WilsMi02
A.J. Brown,PHI,WR,28,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,78.0,1003.0,12.86,7.0,0.0,0.0,7,0.0,0.0,220.3,BrowAJ00
Breece Hall,NYJ,RB,24,16,1.0,1.0,4.0,1.0,0.0,243.0,1065.0,4.38,4.0,48.0,36.0,350.0,9.72,1.0,2.0,2.0,5,0.0,0.0,207.7,HallBr03
TreVeyon Henderson,NWE,RB,23,17,0.0,0.0,0.0,0.0,0.0,180.0,911.0,5.06,9.0,42.0,35.0,221.0,6.31,1.0,1.0,1.0,10,0.0,0.0,206.2,HendTr02
Tetairoa McMillan,CAR,WR,22,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,70.0,1014.0,14.49,7.0,1.0,1.0,7,0.0,0.0,211.4,McMiTe00
Dallas Goedert,PHI,TE,30,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,60.0,591.0,9.85,11.0,0.0,0.0,11,0.0,0.0,185.1,GoedDa00
Kyle Pitts,ATL,TE,25,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,88.0,928.0,10.55,5.0,0.0,0.0,5,0.0,0.0,210.8,PittKy00
Alec Pierce,IND,WR,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,47.0,1003.0,21.34,6.0,0.0,0.0,6,0.0,0.0,183.3,PierAl00
Drake London,ATL,WR,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,68.0,919.0,13.51,7.0,1.0,1.0,7,1.0,0.0,201.9,LondDr00
Hunter Henry,NWE,TE,31,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,60.0,768.0,12.8,7.0,0.0,0.0,7,0.0,0.0,178.8,HenrHu00
Justin Herbert,LAC,QB,27,16,340.0,512.0,3727.0,26.0,13.0,83.0,498.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2,1.0,0.0,286.9,HerbJu00
Emeka Egbuka,TAM,WR,23,17,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.5,0.0,127.0,63.0,938.0,14.89,6.0,0.0,0.0,6,1.0,0.0,195.7,EgbuEm01
Travis Kelce,KAN,TE,36,17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,108.0,76.0,851.0,11.2,5.0,1.0,0.0,5,1.0,0.0,193.2,KelcTr00
