"games","player","position","team","points","pts_per_target","targets","receptions","catch_percentage","rec_yd_pts","rec_td_pts","rush_ypa","rush_yd_pts","rush_td_pts","fumbles"
11,"Jalen Coker","WR","CAR","90.40","2.10","43.00","33.00",77,"39.40","18.00","0.00","0.00","0.00","1.00"
17,"Andrei Iosivas","WR","CIN","89.90","1.55","58.00","33.00",57,"43.50","12.00","4.67","1.40","0.00","0.00"
15,"Xavier Legette","WR","CAR","89.30","1.40","64.00","35.00",55,"36.30","18.00","0.00","0.00","0.00","1.00"
13,"Mason Taylor","TE","NYJ","88.90","1.37","65.00","44.00",68,"36.90","6.00","0.00","0.00","0.00","0.00"
9,"Darren Waller","TE","MIA","88.70","2.61","34.00","24.00",71,"28.30","36.00","4.00","0.40","0.00","0.00"
16,"Adonai Mitchell","WR","2TM","87.90","1.19","74.00","33.00",45,"45.30","12.00","-4.00","-0.40","0.00","1.00"
12,"David Njoku","TE","CLE","86.30","1.80","48.00","33.00",69,"29.30","24.00","0.00","0.00","0.00","0.00"
14,"Calvin Austin III","WR","PIT","86.20","1.57","55.00","31.00",56,"37.20","18.00","0.00","0.00","0.00","0.00"
15,"Darnell Mooney","WR","ATL","82.30","1.14","72.00","32.00",44,"44.30","6.00","0.00","0.00","0.00","2.00"
13,"Michael Mayer","TE","LVR","73.80","1.48","50.00","35.00",70,"32.80","6.00","0.00","0.00","0.00","1.00"
17,"DeAndre Hopkins","WR","BAL","67.00","1.72","39.00","22.00",56,"33.00","12.00","0.00","0.00","0.00","0.00"
13,"Devaughn Vele","WR","NOR","66.30","1.70","39.00","25.00",64,"29.30","12.00","0.00","0.00","0.00","0.00"
15,"Isaiah Williams","WR","NYJ","58.70","1.63","36.00","26.00",72,"19.30","0.00","11.33","3.40","0.00","1.00"
7,"Xavier Gipson","WR","3TM","-1.40","-0.70","2.00","2.00",100,"0.60","0.00","0.00","0.00","0.00","3.00"
