"games","player","position","team","points","rush_attempts","rush_ypa","rush_yds","rush_tds","rush_yd_pts","rush_td_pts","receptions","targets","rec_yds","rec_tds","rec_yd_pts","rec_td_pts","fumbles"
16,"Khalil Shakir","WR","BUF","166.40","1.00","5.00","5.00","0.00","0.50","0.00","72.00","95.00","719.00","4.00","71.90","24.00","1.00"
16,"Romeo Doubs","WR","GNB","165.40","0.00","0.00","0.00","0.00","0.00","0.00","55.00","85.00","724.00","6.00","72.40","36.00","1.00"
16,"Colston Loveland","TE","CHI","165.10","1.00","-2.00","-2.00","0.00","-0.20","0.00","58.00","82.00","713.00","6.00","71.30","36.00","0.00"
17,"Tre Tucker","WR","LVR","161.70","11.00","4.64","51.00","0.00","5.10","0.00","57.00","92.00","696.00","5.00","69.60","30.00","0.00"
11,"George Kittle","TE","SFO","161.50","1.00","-3.00","-3.00","0.00","-0.30","0.00","57.00","69.00","628.00","7.00","62.80","42.00","0.00"
15,"Tyrone Tracy Jr.","RB","NYG","160.80","176.00","4.20","740.00","2.00","74.00","12.00","36.00","48.00","288.00","2.00","28.80","12.00","1.00"
18,"Rashid Shaheed","WR","2TM","156.60","9.00","7.67","69.00","0.00","6.90","0.00","59.00","92.00","687.00","2.00","68.70","12.00","2.00"
16,"Woody Marks","RB","HOU","151.10","196.00","3.59","703.00","2.00","70.30","12.00","24.00","36.00","208.00","3.00","20.80","18.00","1.00"
8,"Rashee Rice","WR","KAN","150.10","5.00","4.00","20.00","1.00","2.00","6.00","53.00","78.00","571.00","5.00","57.10","30.00","2.00"
17,"Kareem Hunt","RB","KAN","145.40","163.00","3.75","611.00","8.00","61.10","48.00","18.00","25.00","143.00","1.00","14.30","6.00","2.00"
17,"Rachaad White","RB","TAM","143.00","132.00","4.33","572.00","4.00","57.20","24.00","40.00","45.00","218.00","0.00","21.80","0.00","0.00"
17,"Jacory Croskey-Merritt","RB","WAS","140.30","175.00","4.60","805.00","8.00","80.50","48.00","9.00","13.00","68.00","0.00","6.80","0.00","4.00"
14,"Brian Thomas","WR","JAX","138.80","3.00","7.00","21.00","1.00","2.10","6.00","48.00","91.00","707.00","2.00","70.70","12.00","0.00"
10,"Bucky Irving","RB","TAM","138.50","173.00","3.40","588.00","1.00","58.80","6.00","30.00","35.00","277.00","3.00","27.70","18.00","1.00"
14,"Jordan Addison","WR","MIN","135.10","2.00","40.50","81.00","1.00","8.10","6.00","42.00","79.00","610.00","3.00","61.00","18.00","0.00"
10,"Christian Watson","WR","GNB","132.40","1.00","3.00","3.00","0.00","0.30","0.00","35.00","55.00","611.00","6.00","61.10","36.00","0.00"
17,"Mark Andrews","TE","BAL","131.00","10.00","4.80","48.00","1.00","4.80","6.00","48.00","70.00","422.00","5.00","42.20","30.00","1.00"
16,"Jordan Mason","RB","MIN","128.90","159.00","4.77","758.00","6.00","75.80","36.00","14.00","16.00","51.00","0.00","5.10","0.00","3.00"
15,"Theo Johnson","TE","NYG","127.80","0.00","0.00","0.00","0.00","0.00","0.00","45.00","74.00","528.00","5.00","52.80","30.00","0.00"
12,"Marvin Harrison Jr.","WR","ARI","127.80","0.00","0.00","0.00","0.00","0.00","0.00","41.00","73.00","608.00","4.00","60.80","24.00","0.00"
13,"Zach Ertz","TE","WAS","126.40","0.00","0.00","0.00","0.00","0.00","0.00","50.00","72.00","504.00","4.00","50.40","24.00","1.00"
17,"Chimere Dike","WR","TEN","126.10","11.00","1.64","18.00","0.00","1.80","0.00","48.00","74.00","423.00","4.00","42.30","24.00","2.00"
12,"Dalton Kincaid","TE","BUF","126.10","0.00","0.00","0.00","0.00","0.00","0.00","39.00","49.00","571.00","5.00","57.10","30.00","1.00"
15,"Chuba Hubbard","RB","CAR","125.40","134.00","3.81","511.00","1.00","51.10","6.00","30.00","39.00","223.00","3.00","22.30","18.00","1.00"
17,"Chig Okonkwo","TE","TEN","124.00","0.00","0.00","0.00","0.00","0.00","0.00","56.00","79.00","560.00","2.00","56.00","12.00","0.00"
17,"Jerry Jeudy","WR","CLE","120.70","1.00","5.00","5.00","0.00","0.50","0.00","50.00","106.00","602.00","2.00","60.20","12.00","1.00"
17,"Malik Washington","WR","MIA","116.70","17.00","6.47","110.00","1.00","11.00","6.00","46.00","65.00","317.00","3.00","31.70","18.00","1.00"
11,"Alvin Kamara","RB","NOR","100.70","131.00","3.60","471.00","1.00","47.10","6.00","33.00","39.00","186.00","0.00","18.60","0.00","2.00"
7,"Garrett Wilson","WR","NYJ","99.50","0.00","0.00","0.00","0.00","0.00","0.00","36.00","59.00","395.00","4.00","39.50","24.00","1.00"
13,"Mason Taylor","TE","NYJ","88.90","0.00","0.00","0.00","0.00","0.00","0.00","44.00","65.00","369.00","1.00","36.90","6.00","0.00"
16,"Adonai Mitchell","WR","2TM","87.90","1.00","-4.00","-4.00","0.00","-0.40","0.00","33.00","74.00","453.00","2.00","45.30","12.00","1.00"
7,"Xavier Gipson","WR","3TM","-1.40","0.00","0.00","0.00","0.00","0.00","0.00","2.00","2.00","6.00","0.00","0.60","0.00","3.00"
