Player,Tm,FantPos,Age,G,player_id
Chris Rodriguez,WAS,RB,25,13,RodrCh00
Marvin Harrison Jr.,ARI,WR,23,12,HarrMa09
Dalton Kincaid,BUF,TE,26,12,KincDa00
Colby Parkinson,LAR,TE,26,15,ParkCo02
Tucker Kraft,GNB,TE,25,8,KrafTu00
Shedeur Sanders,CLE,QB,23,8,SandSh00
Mark Andrews,BAL,TE,30,17,AndrMa00
Theo Johnson,NYG,TE,24,15,JohnTh00
Sean Tucker,TAM,RB,24,17,TuckSe00
Oronde Gadsden II,LAC,TE,22,15,GadsOr01
Luther Burden,CHI,WR,22,15,BurdLu00
Emanuel Wilson,GNB,RB,26,17,WilsEm00
Bhayshul Tuten,JAX,RB,22,15,TuteBh00
Chimere Dike,TEN,WR,24,17,DikeCh00
Josh Downs,IND,WR,24,16,DownJo00
Kyler Murray,ARI,QB,28,5,MurrKy00
Elic Ayomanor,TEN,WR,22,16,AyomEl00
Zach Ertz,WAS,TE,35,13,ErtzZa00
Ty Johnson,BUF,RB,28,17,JohnTy02
Terry McLaurin,WAS,WR,30,10,McLaTe00
Nick Chubb,HOU,RB,30,15,ChubNi00
Ryan Flournoy,DAL,WR,26,16,FlouRy00
Pat Freiermuth,PIT,TE,27,17,FreiPa00
Jalen Nailor,MIN,WR,26,17,NailJa00
Brenton Strange,JAX,TE,25,12,StraBr00
Jerry Jeudy,CLE,WR,26,17,JeudJe00
Zonovan Knight,ARI,RB,24,12,KnigZo00
Malik Washington,MIA,WR,24,17,WashMa00
Dillon Gabriel,CLE,QB,25,10,GabrDi00
Carson Wentz,MIN,QB,33,5,WentCa00
Cooper Kupp,SEA,WR,32,16,KuppCo00
Davis Mills,HOU,QB,27,6,MillDa02
Alvin Kamara,NOR,RB,30,11,KamaAl00
Dawson Knox,BUF,TE,29,17,KnoxDa00
Chig Okonkwo,TEN,TE,26,17,OkonCh00
Isiah Pacheco,KAN,RB,26,13,PachIs00
Xavier Worthy,KAN,WR,22,14,WortXa00
Mack Hollins,NWE,WR,32,15,HollMa00
Sam LaPorta,DET,TE,24,9,LaPoSa01
Tyjae Spears,TEN,RB,24,13,SpeaTy00
Michael Carter,ARI,RB,26,13,CartMi03
DeMario Douglas,NWE,WR,25,17,DougDe00
Darren Waller,MIA,TE,33,9,WallDa01
Keon Coleman,BUF,WR,22,13,ColeKe02
Tez Johnson,TAM,WR,23,16,JohnTe03
Garrett Wilson,NYJ,WR,25,7,WilsGa00
Xavier Hutchinson,HOU,WR,25,17,HutcXa00
Cade Otton,TAM,TE,26,16,OttoCa00
T.J. Hockenson,MIN,TE,28,15,HockTJ00
Darius Slayton,NYG,WR,28,14,SlayDa01
Tyquan Thornton,KAN,WR,25,14,ThorTy00
Samaje Perine,CIN,RB,30,15,PeriSa00
Isaac TeSlaa,DET,WR,23,17,TeSlIs00
Tyrod Taylor,NYJ,QB,36,6,TaylTy00
Jake Tonges,SFO,TE,26,17,TongJa00
KaVontae Turpin,DAL,WR,29,15,TurpKa00
Jalen Coker,CAR,WR,24,11,CokeJa01
Andrei Iosivas,CIN,WR,26,17,IosiAn00
Marvin Mims,DEN,WR,23,15,MimsMa00
Calvin Austin III,PIT,WR,26,14,AustCa00
Kendrick Bourne,SFO,WR,30,16,BourKe00
Mike Evans,TAM,WR,32,8,EvanMi00
Adonai Mitchell,2TM,WR,23,16,MitcAd00
Brian Robinson Jr.,SFO,RB,26,17,RobiBr01
Dylan Sampson,CLE,RB,21,15,SampDy00
Ray Davis,BUF,RB,26,17,DaviRa04
Xavier Legette,CAR,WR,24,15,LegeXa00
Evan Engram,DEN,TE,31,16,EngrEv00
David Njoku,CLE,TE,29,12,NjokDa00
Ricky Pearsall,SFO,WR,25,9,PearRi00
Tory Horton,SEA,WR,23,8,HortTo00
Tank Bigsby,2TM,RB,24,17,BigsTa00
Malik Willis,GNB,QB,26,4,WillMa12
Isaiah Davis,NYJ,RB,23,16,DaviIs00
Chris Godwin,TAM,WR,29,9,GodwCh00
Darnell Mooney,ATL,WR,28,15,MoonDa00
Russell Wilson,NYG,QB,37,6,WilsRu00
Jake Browning,CIN,QB,29,5,BrowJa08
Cole Kmet,CHI,TE,26,16,KmetCo00
Gunnar Helm,TEN,TE,23,16,HelmGu00
Jeremy McNichols,WAS,RB,30,17,McNiJe00
Ollie Gordon,MIA,RB,21,17,GordOl00
Jonnu Smith,PIT,TE,30,17,SmitJo01
Greg Dortch,ARI,WR,27,12,DortGr01
Tyler Higbee,LAR,TE,32,10,HigbTy00
Keaton Mitchell,BAL,RB,23,13,MitcKe01
Dontayvion Wicks,GNB,WR,24,14,WickDo00
Olamide Zaccheaus,CHI,WR,28,16,ZaccOl01
Emari Demercado,ARI,RB,26,13,DemeEm00
DeAndre Hopkins,BAL,WR,33,17,HopkDe00
