Player,Tm,FantPos,Age,G,player_id
Myles Gaskin,SEA,RB,28,1,GaskMy00
Anthony Gould,IND,WR,24,11,GoulAn00
Cam Grandy,CIN,TE,25,5,GranCa00
Amar Johnson,LAC,RB,22,2,JohnAm00
Dylan Laube,LVR,RB,26,17,LaubDy00
Chris Manhertz,NYG,TE,33,17,ManhCh00
Moliki Matavao,NOR,TE,22,6,MataMo00
Kalel Mullings,TEN,RB,23,9,MullKa00
Bryce Oliver,TEN,WR,25,3,OlivBr02
Patrick Ricard,BAL,FB,31,11,RicaPa00
Anthony Richardson,IND,QB,23,2,RichAn03
Jacob Saylors,DET,RB,24,16,SaylJa00
Quentin Skinner,NYJ,WR,24,1,SkinQu00
Josh Williams,TAM,RB,25,3,WillJo011
Zach Wilson,MIA,QB,26,4,WilsZa00
Owen Wright,TAM,RB,26,3,WrigOw00
Ben Yurosek,MIN,TE,23,12,YuroBe00
Maurice Alexander,CHI,WR,28,1,AlexMa02
Kyle Allen,DET,QB,29,3,AlleKy00
Ulysses Bentley,IND,RB,25,1,BentUl00
Chris Blair,ATL,WR,28,3,BlaiCh00
Gary Brightwell,CIN,RB,26,2,BrigGa00
Ja'Corey Brooks,WAS,WR,24,1,BrooJa04
Jason Brownlee,KAN,WR,26,6,BrowJa07
Pharaoh Brown,ARI,TE,31,7,BrowPh01
Lawrence Cager,WAS,TE,28,1,CageLa01
Dalen Cambre,NYG,WR,24,7,CambDa00
Dalevon Campbell,CAR,WR,24,2,CampDa01
Parris Campbell,DAL,WR,28,1,CampPa00
Stephen Carlson,CHI,TE,29,2,CarlSt00
DeAndre Carter,CLE,WR,32,4,CartDe02
Dan Chisena,CAR,WR,28,1,ChisDa00
River Cracraft,WAS,WR,31,2,CracRi00
Malik Cunningham,DET,WR,27,1,CunnMa00
Drake Dabney,GNB,TE,23,2,DabnDr00
Kaden Davis,CLE,WR,27,2,DaviKa02
Zach Davidson,NYG,TE,27,1,DaviZa00
CJ Dippre,NWE,TE,23,2,DippCJ00
Chase Edmonds,WAS,RB,29,3,EdmoCh00
Princeton Fant,DAL,TE,26,1,FantPr00
Simi Fehoko,ARI,WR,28,8,FehoSi00
Thomas Fidone,NYG,TE,23,7,FidoTh00
Feleipe Franks,ATL,TE,28,17,FranFe00
Russell Gage,SFO,WR,29,1,GageRu00
Eric Gray,NYG,RB,26,4,GrayEr01
Isaac Guerendo,SFO,RB,25,14,GuerIs00
Nyheim Hines,2TM,RB,29,4,HineNy00
Jimmy Holiday,KAN,WR,24,1,HoliJi00
Travis Homer,CHI,RB,27,10,HomeTr00
Zach Horton,DET,TE,23,2,HortZa00
Jarquez Hunter,LAR,RB,23,5,HuntJa03
Jordan James,SFO,RB,21,3,JameJo01
Jermar Jefferson,ARI,RB,25,2,JeffJe00
E.J. Jenkins,PHI,TE,27,2,JenkEJ00
Jakob Johnson,HOU,FB,31,7,JohnJa12
Jeshaun Jones,MIN,WR,26,1,JoneJe01
Nikola Kalinic,CHI,TE,28,2,KaliNi00
Nick Kallerup,SEA,TE,24,9,KallNi00
Ko Kieft,TAM,TE,27,3,KiefKo00
Cameron Latu,PHI,TE,25,15,LatuCa01
Marcedes Lewis,DEN,TE,41,5,LewiMa00
Drew Lock,SEA,QB,29,5,LockDr00
Dominic Lovett,DET,WR,23,12,LoveDo00
Adrian Martinez,SFO,QB,25,1,MartAd00
Sean McKeon,IND,TE,28,1,McKeSe01
Jackson Meeks,DET,WR,22,2,MeekJa00
Kendall Milton,CIN,RB,23,1,MiltKe01
Jordan Mims,TEN,RB,26,1,MimsJo00
Gardner Minshew II,KAN,QB,29,4,MinsGa00
Elijah Mitchell,KAN,RB,27,1,MitcEl00
Jalen Moreno-Cropper,DAL,WR,24,3,MoreJa01
Nick Mullens,JAX,QB,30,5,MullNi00
Lew Nichols,PIT,RB,24,1,NichLe00
Robbie Ouzts,SEA,FB,23,12,OuztRo00
Coleman Owen,IND,WR,24,2,OwenCo00
Tejhaun Palmer,ARI,WR,25,1,PalmTe00
Brennan Presley,LAR,WR,23,1,PresBr00
Teagan Quitoriano,ATL,TE,25,17,QuitTe00
Craig Reynolds,DET,RB,29,7,ReynCr00
Giovanni Ricci,DET,TE,29,3,RiccGi00
JP Richardson,CHI,WR,23,1,RichJP00
Jalen Royals,KAN,WR,22,7,RoyaJa00
Hayden Rucci,MIA,TE,24,4,RuccHa00
Carter Runyon,LVR,TE,24,13,RunyCa00
Brady Russell,SEA,FB,27,17,RussBr00
Brett Rypien,CIN,QB,29,1,RypiBr00
Cody Schrader,LAR,RB,26,1,SchrCo00
Trey Sermon,PIT,RB,26,4,SermTr00
Justin Shorter,LVR,WR,25,7,ShorJu00
Steven Sims,ARI,WR,28,3,SimsSt00
Kedon Slovis,ARI,QB,24,2,SlovKe00
Brandon Smith,NYJ,WR,27,2,SmitBr07
Jarrett Stidham,DEN,QB,29,1,StidJa00
Robert Tonyan,KAN,TE,31,17,TonyRo00
Samori Toure,NOR,WR,27,1,TourSa00
Laquon Treadwell,IND,WR,30,10,TreaLa00
Cole Turner,TEN,TE,25,1,TurnCo00
DJ Turner,LVR,WR,28,1,TurnDJ00
Malik Turner,SFO,WR,29,3,TurnMa00
Sione Vaki,DET,RB,24,11,VakiSi00
Nick Vannett,2TM,TE,32,10,VannNi00
Travis Vokolek,ARI,TE,27,5,VokoTr00
Carlos Washington,ATL,RB,27,1,WashCa00
Treyton Welch,NOR,TE,24,3,WelcTr00
Jack Westover,NWE,FB,26,17,WestJa01
Blake Whiteheart,CLE,TE,25,17,WhitBl01
Ricky White,SEA,WR,23,2,WhitRi01
Jared Wiley,KAN,TE,25,5,WileJa00
Avery Williams,NYJ,WR,27,1,WillAv02
Brayden Willis,SFO,TE,26,6,WillBr06
Jeff Wilson,MIA,RB,30,3,WilsJe01
Derius Davis,LAC,WR,25,11,DaviDe02
Jimmy Garoppolo,LAR,QB,34,3,GaroJi00
Ke'Shawn Williams,2TM,WR,24,11,WillKe08
Jamal Agnew,ATL,WR,30,11,AgneJa00
Mecole Hardman,BUF,WR,27,2,HardMe00
Jalen Milroe,SEA,QB,23,3,MilrJa00
LaJohntay Wester,BAL,WR,23,17,WestLa01
Xavier Gipson,3TM,WR,24,7,GipsXa00
Myles Price,MIN,WR,24,16,PricMy00
