,rank,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
51,52,Rico Dowdle,CAR,RB,17,0,0,0,1076,6,39,297,1,0,0,0,0,12.7,216.3
52,53,Lamar Jackson,BAL,QB,13,2549,21,7,349,2,0,0,0,0,0,0,0,16.5,214.9
53,54,Tee Higgins,CIN,WR,15,0,0,0,0,0,59,846,11,0,0,0,0,14.1,211.6
54,55,Tetairoa McMillan,CAR,WR,17,0,0,0,0,0,70,1014,7,0,0,0,0,12.4,211.4
55,56,Kyle Pitts Sr.,ATL,TE,17,0,0,0,0,0,88,928,5,0,0,0,0,12.4,210.8
56,57,Stefon Diggs,NE,WR,17,0,0,0,0,0,85,1013,4,0,0,0,0,12.4,210.3
57,58,C.J. Stroud,HOU,QB,14,3041,19,8,209,1,0,0,0,0,0,0,0,14.9,208.5
58,59,Breece Hall,NYJ,RB,16,4,1,0,1065,4,36,350,1,0,0,0,0,13,207.7
59,60,RJ Harvey,DEN,RB,17,0,0,0,540,7,47,356,5,0,0,0,0,12.2,206.6
60,61,TreVeyon Henderson,NE,RB,17,0,0,0,911,9,35,221,1,0,0,0,0,12.1,206.2
61,62,Michael Pittman Jr.,IND,WR,17,0,0,0,0,0,80,784,7,0,0,0,0,11.9,202.4
62,63,Drake London,ATL,WR,12,0,0,0,0,0,68,919,7,0,0,0,0,16.8,201.9
63,64,DeVonta Smith,PHI,WR,17,0,0,0,0,0,77,1008,4,0,0,0,0,11.9,201.8
64,65,Justin Jefferson,MIN,WR,17,0,0,0,7,0,84,1048,2,0,0,0,0,11.9,201.5
65,66,CeeDee Lamb,DAL,WR,14,0,0,0,2,0,75,1077,3,0,0,0,0,14.3,200.9
66,67,Myles Garrett,CLE,DE,17,0,0,0,0,0,0,0,0,23,0,3,0,11.5,196
67,68,Emeka Egbuka,TB,WR,17,0,0,0,9,0,63,938,6,0,0,0,0,11.5,195.7
68,69,Jaylen Waddle,MIA,WR,16,8,0,0,28,0,64,910,6,0,0,0,0,12.1,194.1
69,70,Travis Kelce,KC,TE,17,0,0,0,1,0,76,851,5,0,0,0,0,11.4,193.2
70,71,Kenneth Walker III,SEA,RB,17,0,0,0,1027,5,31,282,0,0,0,0,0,11.3,191.9
71,72,Jason Myers,SEA,K,17,0,0,0,0,0,0,0,0,0,0,0,0,11.1,189
72,73,Tyler Warren,IND,TE,17,0,0,0,8,1,76,817,4,0,0,0,0,11.1,188.5
73,74,Deebo Samuel Sr.,WAS,WR,16,0,0,0,75,1,72,727,5,0,0,0,0,11.8,188.2
74,75,Jake Ferguson,DAL,TE,17,0,0,0,1,0,82,600,8,0,0,0,0,11.1,188.1
75,76,DK Metcalf,PIT,WR,15,0,0,0,12,1,59,850,6,0,0,0,0,12.5,187.2
76,77,Cam Ward,TEN,QB,17,3169,15,7,159,2,0,0,0,0,0,0,0,11,186.7
77,78,Harold Fannin Jr.,CLE,TE,16,0,0,0,13,1,72,731,6,0,0,0,0,11.7,186.4
78,79,Tony Pollard,TEN,RB,17,0,0,0,1082,5,33,206,0,0,0,0,0,10.9,185.8
79,80,Dallas Goedert,PHI,TE,15,0,0,0,0,0,60,591,11,0,0,0,0,12.3,185.1
80,81,Alec Pierce,IND,WR,15,0,0,0,0,0,47,1003,6,0,0,0,0,12.2,183.3
81,82,Keenan Allen,LAC,WR,17,0,0,0,0,0,81,777,4,0,0,0,0,10.7,182.7
